"diffusion_input","diffusion_output_heat","diffusion_output_rank","name","selected","shared name"
"0.0","0.0012229348289439837","7304","6416","false","6416"
"0.0","0.0028384615980761034","5784","2318","false","2318"
"0.0","4.1691504817097346E-4","10996","84665","false","84665"
"0.0","0.004376258885213757","3692","88","false","88"
"0.0","0.013516070896600639","326","90","true","90"
"0.0","0.004634188074330239","3248","2339","false","2339"
"0.0","0.003312486248777872","5323","2624","false","2624"
"0.0","0.011143838660270437","524","5371","true","5371"
"0.0","0.010405085408981541","616","6118","true","6118"
"0.0","0.02446918278044056","163","6774","true","6774"
"0.0","0.005624667123352206","2488","375","false","375"
"0.0","0.0014490151717891182","6894","23163","false","23163"
"0.0","0.001104090454595462","7581","377","false","377"
"0.0","0.0011691051982565576","7402","23647","false","23647"
"0.0","0.005390329952377546","2574","27236","false","27236"
"0.0","0.0021316023896482874","6280","54464","false","54464"
"0.0","0.005992304730414271","2295","226","false","226"
"0.0","0.009361243434333463","804","351","true","351"
"0.0","0.004414548613765278","3625","10513","false","10513"
"0.0","7.701663921521971E-4","8809","333","false","333"
"0.0","0.006339926291012863","2103","1600","false","1600"
"0.0","0.004863897012477118","2907","10370","false","10370"
"0.0","0.0050304493978126094","2768","7020","false","7020"
"0.0","0.013280660178627413","338","2033","true","2033"
"0.0","0.005318093428951257","2614","338","false","338"
"0.0","1.5256727532755816E-4","14412","4547","false","4547"
"0.0","0.009541299713451747","774","409","true","409"
"0.0","7.60550536462697E-4","8849","5900","false","5900"
"0.0","0.0016179653944784593","6686","1436","false","1436"
"0.0","0.021637078144919504","171","2885","true","2885"
"0.0","0.0026832192158937076","5894","7916","false","7916"
"0.0","0.001041307328820808","7774","27257","false","27257"
"0.0","0.001591525943725305","6709","4677","false","4677"
"0.0","4.819473425326304E-4","10456","6521","false","6521"
"0.0","0.006155390950245012","2202","22950","false","22950"
"0.0","0.003647166737122133","4893","602","false","602"
"0.0","0.004817396399112177","2971","580","false","580"
"0.0","1.9038605207848304E-4","13771","153","false","153"
"0.0","0.007311318019294585","1531","10755","true","10755"
"0.0","0.008447557036420545","1086","672","true","672"
"0.0","7.533853021215648E-4","8883","466","false","466"
"0.0","0.005056742932484309","2752","4436","false","4436"
"0.0","0.0024005708761084075","6092","2956","false","2956"
"0.0","7.682532927193355E-4","8819","421","false","421"
"0.0","2.822006862076547E-4","12438","1013","false","1013"
"0.0","0.0010238796949746897","7831","5092","false","5092"
"0.0","7.329515854156688E-4","8969","775","false","775"
"0.0","0.0038784383611740795","4519","5664","false","5664"
"0.0","0.002135723108795036","6276","823","false","823"
"0.0","0.004496552027575016","3475","825","false","825"
"0.0","0.003411554215268068","5207","7273","false","7273"
"0.0","0.001228844424773094","7295","3708","false","3708"
"0.0","4.776847318078247E-4","10486","767","false","767"
"0.0","0.0013952879500460011","6997","9223","false","9223"
"0.0","0.01013067056209875","647","1499","true","1499"
