#rank	DiaBLE_node	p_hyper
1	3725	1.3245684355818808e-18
2	3065	3.4740814051271984e-18
3	6667	1.441902198267239e-18
4	5970	2.4670004123026623e-18
5	8841	1.2061854629721205e-18
6	6597	2.416002859585425e-18
7	3066	2.063178943581165e-18
8	3309	2.856749315601326e-18
9	3480	2.6195032607935633e-18
10	9612	3.677242896938844e-18
11	3164	2.69778523770441e-18
12	3320	2.7205677111136074e-17
13	25962	3.5713946800352857e-17
14	3312	1.032109329502668e-16
15	3308	3.338202810350141e-17
16	7520	3.4120928189395473e-17
17	7428	8.825389814575429e-18
18	5468	6.989199860704392e-18
19	23054	6.563136814190596e-18
20	4088	5.54499494556997e-18
21	1869	1.0403486507975837e-17
22	6772	2.1173606498488086e-18
23	2033	3.673536288967901e-18
24	1051	1.0330402434017538e-18
25	4790	4.0108296094171586e-19
26	688	3.277764771408864e-19
27	5914	2.8881000461378648e-18
28	6599	3.6294064014325664e-18
29	6601	1.0689438975179383e-18
30	2969	4.524826233758515e-18
31	10413	1.421459939957398e-18
32	2547	7.768442532945744e-19
33	1655	1.7075048345957958e-18
34	7020	1.9488799846027454e-18
35	8554	2.665535996222084e-18
36	6613	2.474367019229606e-18
37	5594	4.224321070994871e-18
38	2353	1.7053025419879294e-18
39	8359	1.811951745940704e-18
40	8850	7.67872964657841e-19
41	8350	4.829185302808851e-19
42	8467	7.233002754156425e-19
43	4436	1.799340106521385e-19
44	1017	2.870061729949952e-19
45	5241	4.643244048130999e-19
46	7329	6.895324463737365e-19
47	5451	8.999147957145862e-20
48	5888	1.6047926401527363e-19
49	5111	9.86744541111924e-20
50	2956	1.1436116483617653e-19
51	7155	2.2426793912453687e-19
52	7341	1.4631983353309245e-19
53	5315	1.1338493365430811e-19
54	5430	2.9088454548161654e-19
55	6595	4.709191681728922e-20
56	3014	1.2116426699642254e-19
57	6598	1.596107973743399e-19
58	6605	2.237764565415735e-19
59	25942	2.0780378831887816e-19
60	1457	9.037390118423318e-20
61	1108	8.88975799085432e-20
62	23512	8.820660331329705e-20
63	9219	2.2448994935147853e-20
64	9555	1.869987586973919e-20
65	9112	1.0198975467735478e-20
66	2074	7.93141590338666e-21
67	5928	3.275641057023904e-20
68	2186	7.069855542847573e-21
69	1385	8.307541482470892e-21
70	8726	1.193193207458799e-20
71	53615	1.6598168064533434e-21
72	115426	1.935549626066354e-21
73	9031	3.3487419849643144e-21
74	7181	7.054763263885397e-21
75	3054	6.439988284665512e-21
76	5931	1.2553740406566496e-20
77	3020	8.96779473607796e-21
78	23152	1.1274253916479929e-20
79	57459	2.8282444463964175e-21
80	57504	3.7909862804446593e-22
81	54815	5.672913098424431e-23
82	7227	9.500754657182158e-23
83	23309	1.0246070190928103e-22
84	54386	1.8891082585510743e-22
85	124944	1.5974794046852733e-23
86	10042	1.1819106066815041e-24
87	286826	2.2300658190013214e-25
88	79595	3.9751668180279996e-26
89	10036	6.876098117135e-27
90	8099	9.029315548690586e-28
91	64426	3.322860990308848e-27
92	114825	2.7987040607726073e-28
93	8819	3.2240315878285787e-29
94	22823	1.8375249925932956e-29
95	4605	2.969924684980226e-30
96	55957	1.6849034566296873e-30
97	51742	2.995462354072925e-31
98	84312	2.5141555619907902e-31
99	53335	3.5676893959914444e-32
100	64919	1.533474420953347e-32
101	57473	2.699515780677912e-32
102	257218	2.019751324497779e-33
103	57798	3.917007548270653e-34
104	26038	1.4364706256582781e-31
105	8208	1.958317452723085e-32
106	57649	2.2937156594114207e-30
107	8520	6.824898510730196e-30
108	5252	1.32451429792492e-30
109	51222	5.104077393207677e-29
110	3607	1.3706779575658545e-28
111	23613	1.8228652172967864e-28
112	84661	1.4908313566147606e-26
113	3621	7.499050511426325e-26
114	91750	1.6096814243681258e-25
115	11335	5.164594758091532e-25
116	8290	2.9667050484196166e-24
117	25842	1.0331321380948179e-23
118	9656	1.4458894348540247e-23
119	162979	1.5100884183957325e-23
120	6942	1.9052277741309926e-23
121	1642	5.030440954057015e-23
122	405	2.06855342001373e-23
123	10155	3.5942350871487295e-23
124	4361	3.1248190021180486e-23
125	546	1.7342581384143502e-23
126	3146	1.0129252277935296e-23
127	1058	8.345796328908189e-24
128	51773	2.2898513234685362e-24
129	29128	3.391186365775146e-23
130	1616	1.9217739538429812e-23
131	7161	3.5111037560482435e-23
132	4773	8.011123550917006e-23
133	4772	3.8771102770151804e-23
134	221937	2.810355084652304e-23
135	7023	5.707829064554163e-24
136	25855	9.494238044116074e-24
137	3622	9.406621845612532e-24
138	7290	1.58326702218378e-22
139	3159	1.4118365331491224e-22
140	11091	5.888561087338276e-23
141	4221	6.013997393560569e-23
142	57680	7.24250464588429e-23
143	3015	1.1132687790240997e-23
144	3018	5.154580902177991e-24
145	54904	1.802200353365467e-24
146	6046	1.2779462661405999e-23
147	23468	8.741967480540359e-24
148	23394	3.0669940841514523e-24
149	8463	1.9475647620180767e-24
150	1788	1.0295151711451198e-23
151	79813	1.5115488828928813e-24
152	10919	2.7160046339991954e-24
153	58525	3.8941131429870235e-24
154	55193	2.0661934276290188e-23
155	6603	1.1474636344462984e-23
156	5929	4.967963800936365e-24
157	9070	7.258371590730274e-24
158	22992	5.5032701758816216e-24
159	7158	2.9453748549089633e-24
160	9739	1.747270607487855e-24
161	126961	1.5536124208811613e-24
162	3836	6.127664303255234e-24
163	4602	1.8828411986877302e-23
164	8335	1.1161610098431086e-23
165	10524	3.2515730488174028e-24
166	8353	1.1400109165593811e-24
167	121504	5.342712604361527e-25
168	3980	9.302639118145293e-24
169	6117	7.135593590308448e-24
170	5981	2.4604259605138978e-24
171	79968	1.2316500432841608e-24
172	9126	9.723614810264036e-25
173	8243	1.8408770507066318e-24
174	2177	9.615162393135647e-25
175	86	2.410242245305606e-25
176	4691	7.779497357920857e-26
177	4000	1.7604826916079895e-25
178	4926	1.847629010747141e-25
179	10111	3.0525986109929814e-25
180	8607	7.952359233564751e-25
181	25836	1.7209820645904814e-25
182	6118	3.7072811505810823e-25
183	10856	2.125163990723279e-25
184	51548	2.655657346471401e-25
185	3190	1.041138731472015e-25
186	55355	3.877400486557746e-25
187	23028	7.76306421001907e-25
188	7468	5.289879597036686e-25
189	6045	5.92211695561744e-25
190	11198	2.739730975769871e-25
191	6749	7.438996265249604e-26
192	11168	2.862444535608776e-25
193	4869	2.974344821701536e-25
194	6119	1.7792300163746494e-25
195	7080	4.101236150441014e-26
196	7486	1.1294247474833252e-26
197	7182	9.0001634453331e-26
198	1660	2.2053102700101755e-26
199	4841	4.294006445217177e-27
200	6421	2.6852768579245212e-27
201	2521	2.200410852812683e-27
202	4171	1.856392267856773e-27
203	9343	1.0732031957448832e-27
204	7150	4.59773700935643e-28
205	10521	1.9497091410827743e-28
206	1915	2.3071370246822677e-28
207	79829	2.783224469522367e-28
208	10594	8.89434878921181e-28
209	2597	4.962987350560568e-28
210	8451	5.081571805847525e-28
211	3184	1.3514598037587373e-28
212	9820	3.5358726954752265e-28
213	22938	2.910198052249705e-28
214	9184	5.111498374354549e-29
215	5903	1.2145383666254294e-28
216	330	9.771907774914753e-29
217	55023	1.5076051896683786e-29
218	9782	2.320178091086399e-29
219	23020	1.801024584467133e-29
220	3192	1.3578394807216146e-29
221	11113	8.77992650367137e-30
222	5982	1.6930479698866033e-30
223	4670	6.039013699416638e-30
224	29117	1.1118723891044304e-29
225	5984	2.490208509385781e-30
226	1025	3.649609182272565e-30
227	9584	4.646732333158076e-30
228	7112	1.4175295753753058e-30
229	23435	3.548991567635873e-31
230	988	1.2935844263428219e-30
231	5499	2.733780206823434e-31
232	8148	3.555178720013889e-31
233	11338	1.3414615968183781e-31
234	5093	3.715552087714916e-32
235	9967	5.171306048612198e-33
236	23363	3.753201596645816e-33
237	3181	1.3605638247520791e-33
238	6632	8.43424872944639e-34
239	1654	2.6190680866744368e-33
240	9401	1.2182517378287266e-32
241	10236	9.436846244700254e-33
242	4174	3.5204404781736115e-33
243	8237	8.062214764058196e-34
244	3313	1.2162338320646213e-33
245	10014	2.684295556135406e-34
246	5245	2.793419890878907e-34
247	4176	6.075390768423122e-35
248	3608	1.8893913895654215e-35
249	5725	1.6502255227450258e-35
250	6615	7.87945922042695e-36
251	3178	1.9656955665146988e-36
252	1653	2.1068832238812268e-35
253	3183	4.62756589175966e-35
254	23524	4.279634463262867e-35
255	6047	1.6463281117870298e-35
256	689	3.910382164884166e-35
257	3609	9.037389388794105e-36
258	103	8.0554982184128e-37
259	6191	1.72883144877039e-36
260	26986	4.44272446465299e-36
261	8450	1.1240009467664613e-36
262	3182	8.80994915258943e-37
263	6780	1.6489853063665e-36
